"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",2,233529097,116764548,99.30069385612924
"hipEventSynchronize",1,1029969,1029969,0.43796099785502784
"hipLaunchKernel",1,408300,408300,0.1736163665355053
"hipMalloc",1,81367,81367,0.034598684535621996
"hipFree",1,81366,81366,0.0345982593179719
"hipEventRecord",2,27379,13689,0.011642034042066127
"hipEventCreate",2,5238,2619,0.0022272900512196347
"__hipPushCallConfiguration",1,4330,4330,0.0018411924249295566
"hipEventElapsedTime",1,3841,3841,0.0016332609940310455
"__hipPopCallConfiguration",1,2794,2794,0.0011880581143771782
