"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",2,233448699,116724349,99.03272255800373
"hipEventSynchronize",1,1161553,1161553,0.49274961256227395
"hipLaunchKernel",1,595688,595688,0.25270050631180485
"hipMalloc",1,406344,406344,0.17237771205188626
"hipFree",1,75709,75709,0.032116985120332175
"hipEventRecord",2,26400,13200,0.011199307971004364
"hipEventCreate",2,4680,2340,0.001985331867587137
"__hipPushCallConfiguration",1,3702,3702,0.0015704484132067482
"hipEventElapsedTime",1,3701,3701,0.0015700241969957254
"__hipPopCallConfiguration",1,2375,2375,0.00100751350117937
